chunk_id,text,source_type,label
reviews_revolut_067,"| Revolut
38e3f323-4b4f-4328-87f1-db3d534d901a | The best online banking app | Revolut
ceb169d9-c1c6-402f-b568-fad6da0cce64 | just a great app, well designed, reliable, great service too | Revolut
1c92b4b4-57eb-4046-aed9-8c688dffa255 | fast | Revolut
fdf8362a-575b-4568-955c-e6978a3a6687 | thank | Revolut
37cbb803-0edc-4df9-9b79-388193db7d40 | I like everything about this app and this account. From regular banking to investing, it the perfect place to do it all. And, you don't have to be an expert in finance to appreciate it.",review,positive
lidl_plus_reviews_452,"Love the concept but frustrated by the bugs. | Lidl Plus
d45cc15b-b28d-46bb-85b3-c12e5e8204b5 | Solid app with good offers. I'd love more variety in the available coupons.",review,negative
lidl_plus_reviews_177,"| Lidl Plus
61c25223-3d77-4ef7-9c59-f906f13a3873 | Great weekly offers and the app never lets me down. | Lidl Plus
8ca1279a-8ecc-4eb5-a96a-ddd527bc562b | Waste of storage. Nothing works.",review,negative
lidl_plus_reviews_321,"Even my mum figured it out easily! | Lidl Plus
86327e4a-b453-4a46-9be4-6fbe459a7b74 | This app is an embarrassment for a company like Lidl. | Lidl Plus
5de3a2d1-3de3-43e6-9511-3c008630cf87 | Can't get it to work consistently.",review,negative
lidl_plus_reviews_581,"| Lidl Plus
be445bcc-eea4-41e5-b0e9-b33b6f455f17 | Works great at all Lidl stores I visit. Highly recommended. | Lidl Plus
4ebea1e5-147f-49f8-b1a8-2fb2e1f51a47 | Works well.",review,positive
lidl_plus_reviews_287,"Would love to see more personalised offers. | Lidl Plus
1e539268-47f6-4bc8-90e1-c5780dfa6aef | Functional but slow. I often have to restart it before shopping.",review,negative
reviews_revolut_066,Everything at ease. Disputes handled quickly and within specific time. I like this app.,review,positive
lidl_plus_reviews_117,"| Lidl Plus
99b20c96-2001-436c-a745-16a60af7dc18 | Really good app. The interface is clean and simple to navigate. | Lidl Plus
6bcc5e94-98ce-4efa-a75d-38bf746495a3 | Acceptable app.",review,positive
lidl_plus_reviews_466,"Completely reliable and very useful. | Lidl Plus
3fcaa99e-5231-4bec-82a6-a10eb0430d5f | I'm always surprised by how good the deals are. Great app.",review,positive
reviews_revolut_068,"Even a small investor like myself can take advantage it's usefulness and ability. | Revolut
c84183fb-4234-4612-9f37-ed25c55e2e0f | okay I'm all for security but this is RIDICULOUS, I just spent half an hour trying to get back into MY account because I have extremely shaky hands, like my bad that I can't stay still enough for you, then my selfie gets rejected 5 times, then I get a ""we're reviewing your submission"" to be then told they couldn't verify it was MY face then I try again and log in straight away! My actual bank doesn't do this much and at least they try to be accessible for people | Revolut
5966a979-c6bc-45a3-b338-9f12b2bb3362 | enjoying my experience so far | Revolut
af4d26cb-7bb6-4309-a20c-73a277d1fdc1 | Safe fast easy | Revolut
ec77e94c-bbf1-47b4-a314-c4f15c795b9e | Hands down, best online banking app so far at this moment.",review,negative
lidl_plus_reviews_158,"Great updates recently. | Lidl Plus
88599b4e-2d34-4827-b772-d350921a9104 | The plus card works great and the app never crashes on me. | Lidl Plus
51f4db79-da90-478b-a73e-fc441eb8587a | Good loyalty app.",review,positive
lidl_plus_reviews_226,"Could be better. | Lidl Plus
0282c15a-3e5a-4b4b-bfa7-5de2a971df57 | Easy to use and full of good deals. What else could you ask for?",review,positive
lidl_plus_reviews_075,"| Lidl Plus
3f57f88d-3de9-4e9e-af33-e62833fa2a41 | Very useful for saving money. The design is nice. A few small improvements needed.",review,neutral
lidl_plus_reviews_208,"| Lidl Plus
cdf37350-e2df-40d9-bacf-ddb59e72b4c0 | Really appreciate the savings. App design is clean but could be more intuitive. | Lidl Plus
5a804764-b813-4b12-93d9-9e4a26ca234d | Works perfectly in all my local Lidl stores.",review,neutral
lidl_plus_reviews_441,"Crashes constantly. One star is too generous. | Lidl Plus
10f1a520-4992-43ed-a5cf-f3906a79a912 | My weekly Lidl run wouldn't be the same without this app.",review,negative
lidl_plus_reviews_357,"| Lidl Plus
aca3f225-7fa8-4b8e-a4cc-0162fedb6b29 | Never had a single problem with this app. It just works. | Lidl Plus
dadc9049-42a5-458b-902c-0735b3acfeba | Really appreciate the savings.",review,positive
