id,type,text,reply
TKT-012,complaint,"Your Asana Academy is too long. I signed up for a tool, not a certification program. I just need to know how to do basic things quickly. Can you make a 10-minute version for people who just want to get something done?","Totally fair feedback, and you're not alone — we hear this often. In addition to Asana Academy, we do have shorter resources: the Quick Start guides (under Help > Get started) are designed for exactly this use case. There are also short video walkthroughs on our YouTube channel for specific tasks like setting up your first project or using My Tasks. I'll also pass your feedback to the team — a 'fast track' onboarding path is something we're actively thinking about."
TKT-013,how-to,"I set up a rule that marks tasks as complete when they're moved to the 'Done' section. But now when I manually complete a task in a different section, it doesn't move to Done. I want it to work both ways — move to Done when complete AND complete when moved to Done.","You can set up two rules to achieve this! Rule 1: 'When a task is moved to the Done section → Mark the task complete.' Rule 2: 'When a task is marked complete → Move to Done section.' These rules work together and handle both trigger directions. One thing to watch: if both rules fire at once (e.g., you complete a task that's already in Done), Asana is smart enough not to create a loop, but you may want to test it with a dummy task first. Let me know if you run into any issues!"
TKT-014,bug,"I was working in Asana on my phone and marked a task complete. Then I opened the desktop app and the task was still showing as incomplete. I had to refresh the page. Is this a sync issue?","Thanks for reporting this! In most cases, Asana syncs in real-time between devices, but occasionally there can be a brief delay, especially on mobile if the app goes into the background before the action fully syncs. A manual refresh (pull-to-refresh on mobile, or F5 on desktop) should always show the current state. If you're seeing consistent delays of more than a minute, it may be worth checking your mobile app version and internet connection. Please let us know if it keeps happening — we'd want to log it as a potential bug."
TKT-015,how-to,"How do I create a project template? I've set up a project structure that works well and I want to reuse it without duplicating the whole project every time.","To create a Template, open your project, click the three-dot menu in the project header, and select 'Save as template.' You can then access your saved templates when creating a new project — they appear under 'My templates' in the template selection screen. Note: the ability to save custom templates requires a Premium plan or above. If you're on the free plan, project duplication is the best alternative for now. Happy to walk you through either option!"
TKT-016,complaint,"I find it really hard to explain to new team members what the difference between a Task, Subtask, Sub-subtask, and Section is. The hierarchy makes sense to me now but it confused everyone I've added to the team. Is there a visual explainer I can share with them?","This is a common sticking point and you're right that the hierarchy can be confusing at first! We have a visual overview of Asana's structure here: [help link]. The short version: Sections are headers that organize tasks within a project; Tasks are the core unit of work; Subtasks break a task into smaller pieces; Sub-subtasks go one level deeper (though we generally recommend avoiding this level of nesting as tasks can become hard to find). I'll also pass your feedback — a clearer in-product explanation for new members is something we're aware of."
TKT-017,feature-request,"I manage multiple clients as a freelancer and I use separate Asana workspaces for each one. The biggest problem is that I can't see my tasks across all workspaces in one place. I have to switch workspaces to check each one. This is a huge daily pain point. Is cross-workspace task view something you're planning?","Thank you for sharing this — it's a real pain point for freelancers and consultants who manage multiple workspaces. Currently, My Tasks and cross-project views are scoped to a single workspace. I don't have timeline information I can share on whether cross-workspace views are planned, but this is one of our most-requested features from independent practitioners and I've added your name to the request. In the meantime, some users consolidate client work into a single workspace using separate teams and privacy settings, though I know that's not ideal for everyone."
TKT-018,how-to,"I accidentally deleted a task. Can I undo this? I don't see an undo button anywhere.","Yes, you can restore it! Deleted tasks go to your project's Trash, accessible from the three-dot menu in the project header — click 'View trash.' From there you can restore any recently deleted task. You can also use Ctrl+Z (or Cmd+Z on Mac) immediately after deletion to undo it, as long as you haven't navigated away. If the task has been in trash for more than 30 days it will be permanently deleted, but you likely have plenty of time. Let me know if you can't find it!"
TKT-019,complaint,"We're a team of 5 and we hit the 15-project limit on the free plan. We can't afford the Business tier ($$$) but the free plan is too restricted. Is there a small team or startup pricing option? The pricing gap between free and paid feels enormous.","Thank you for writing in, and I hear you on the pricing gap. We do offer a discounted rate for eligible nonprofits, and there's an annual billing option that reduces the monthly cost. For very small teams, the Premium plan (lower than Business) may be worth reviewing — it includes unlimited projects without some of the more advanced features. I'd encourage you to speak with our sales team as they sometimes have options for early-stage startups. I'm sorry I can't offer a specific discount here, but I want to make sure you have all the options."
TKT-020,how-to,"What does the little lightning bolt icon mean on some tasks? I've seen it appear and disappear and I have no idea what triggers it.","The lightning bolt icon indicates that the task was created or modified by an automation rule (also called a 'trigger action'). It's a signal that something automated happened to that task rather than a manual user action. If you're seeing it unexpectedly, it means a rule in your project fired on that task — you can review your project's rules under 'Customize' to see which rules are active. If you didn't set up any rules intentionally, it's possible a template or someone else with edit access created one. Let me know if you'd like help finding it!"
TKT-021-thread,data-export,"Hi — we're planning to cancel our subscription and I need to export all our project data first. We have about 12 active projects and 3 years of completed work. Can you walk me through how to export everything? I want task names, descriptions, comments, assignees, and due dates if possible. || FOLLOW-UP (2 days later): Thanks for the instructions — I followed the steps but the export only seems to include tasks from one project at a time. I have 12 projects. Is there a way to export everything in one go? Also the CSV doesn't include task comments, just the other fields. Is that normal?","REPLY 1: Hi! To export a project, open it, click the three-dot menu in the project header, and select 'Export / Print.' You can choose CSV or JSON. The CSV includes task names, assignees, due dates, sections, and descriptions. For comments, the JSON format is more complete. Repeat this for each project. If you're on Business or above, you may also have access to the Admin Console for broader data exports. Let me know how it goes! || REPLY 2: You're correct — project exports are per-project, and there's no bulk export for all projects simultaneously. For 12 projects you would need to export each one individually. Regarding comments: CSV exports do not include comments; the JSON export includes the full task object with comments attached. If you need a single combined file, you'd need to merge the JSON exports manually or use the Asana API (documentation here: [link]). I understand this isn't the smoothest process for a large export — I've flagged this as feedback to our product team. I'm sorry the offboarding experience wasn't smoother."
TKT-022-thread,billing,"I'm trying to understand our invoice. We have 14 seats but the invoice shows 17. We didn't add anyone this month — where are the extra 3 seats coming from? || FOLLOW-UP (1 day later): Thanks for the explanation about guest vs member seats. Quick follow-up: two of the 'members' you identified are contractors who only need occasional access. Can I downgrade them to guests without losing their task history or comments? I want to make sure we don't accidentally lose any of their work before I change anything.","REPLY 1: Happy to help clarify! In Asana, a 'seat' refers to a full member of your workspace — anyone who has been added as a member (not a guest). Guests have limited access and don't count toward your seat total. Looking at your account, it appears 3 users were upgraded from guest to member status in the past billing cycle — this can happen if a guest accepts certain types of project invitations that trigger a membership upgrade. I'll list those 3 accounts in a follow-up message so you can confirm. || REPLY 2: Good news — you can convert a full member back to a guest without losing their task history, comments, or assignments. Their completed and open tasks remain intact; they just lose the ability to create projects or access workspace-level features. To do this: go to Admin Console > Members, find the user, and change their role to Guest. I'd still recommend reviewing their open task assignments before downgrading, just to make sure nothing falls through the cracks. Let me know if you need help walking through it!"
TKT-023-thread,onboarding,"We have a new employee starting Monday. I want to make sure she's set up in Asana and knows what to do on her first day. What's the best way to onboard a new team member? Should I add her before she starts, assign her tasks in advance, and is there any kind of welcome flow she'll go through when she first logs in? || FOLLOW-UP (4 days later): Quick update — she joined on Monday and said the experience was confusing. She accepted the invite, got into Asana, saw a project, and had no idea what she was supposed to do first. Is there something I should have done differently to set her up better? She also said she got a lot of emails immediately and nearly unsubscribed from all notifications.","REPLY 1: Great that you're thinking about this in advance! Here's what I'd recommend: (1) Add her to Asana before Monday so she can accept the invite and get oriented. (2) Assign her a few concrete tasks with due dates in the first week — having her name on specific tasks makes My Tasks useful immediately. (3) Consider writing a brief comment on her first task explaining what you want her to do and how you're using Asana as a team. (4) Send her this quick-start guide [link] along with the invite. There's no formal welcome flow for new members beyond the invite email, so the context you set up manually matters a lot. || REPLY 2: Thanks for the follow-up — what you're describing is unfortunately a common experience. The new member invite flow doesn't include an orientation or a 'here's what to do first' prompt. A few things that help: (1) When you add someone to a project, leave a welcome comment on their first task. (2) Ask her to go to My Tasks first (not Home or a project) — it's the cleanest view for someone just starting out. (3) For notifications: walk her through Settings > Notifications and turn off email notifications for everything except @mentions and task assignments. That usually cuts the noise dramatically. I'd also pass along that a guided new-member experience is something we hear often as a gap — your feedback has been logged."
