customer_author,customer_text,company_author,company_reply,customer_clean,company_clean,thread_text
116140,@115900 It's interesting how with every natural disaster you try to find a way to screw over those who are already the worst off,comcastcares,@116140 Hello there! I would like to take a look into your billing issues for you! Can you please send a DM with your fir... https://t.co/mx7zIru1QO,It's interesting how with every natural disaster you try to find a way to screw over those who are already the worst off,Hello there! I would like to take a look into your billing issues for you! Can you please send a DM with your fir...,It's interesting how with every natural disaster you try to find a way to screw over those who are already the worst off | Hello there! I would like to take a look into your billing issues for you! Can you please send a DM with your fir...
116403,"@ComcastCares
#mobile_CareXI
My Xfinity internet is not working. Can you help?",comcastcares,@116403 I can definitely look into this for you. Please DM me your full address and phone number so I can better assist. –SLM,My Xfinity internet is not working. Can you help?,I can definitely look into this for you. Please DM me your full address and phone number so I can better assist. –SLM,My Xfinity internet is not working. Can you help? | I can definitely look into this for you. Please DM me your full address and phone number so I can better assist. –SLM
116404,"My DVR is fucking up and won’t let me record hocus pocus, WTF @115900.",comcastcares,@116404 Hello. Just checking in to see if you are still experiencing DVR issues. -GO,"My DVR is fucking up and won’t let me record hocus pocus, WTF .",Hello. Just checking in to see if you are still experiencing DVR issues. -GO,"My DVR is fucking up and won’t let me record hocus pocus, WTF . | Hello. Just checking in to see if you are still experiencing DVR issues. -GO"
116405,"Just know when @116136 or @115900 promises a free it’s a lie. 

Over 10 calls a month to get the charge removed. 
#CUSTOMERSERVICEFAIL",comcastcares,"@116405 Hello, thanks for reaching out about your billing concerns and I'd be happy to help! Can you DM the full address? ~AT",Just know when or promises a free it’s a lie. Over 10 calls a month to get the charge removed.,"Hello, thanks for reaching out about your billing concerns and I'd be happy to help! Can you DM the full address? ~AT","Just know when or promises a free it’s a lie. Over 10 calls a month to get the charge removed. | Hello, thanks for reaching out about your billing concerns and I'd be happy to help! Can you DM the full address? ~AT"
116408,Is there anything wrong with anyone’s @115900 service? No WiFi or cable for me😡,comcastcares,"@116408 Hey Krystal, I can look into your account.  Can you DM me your account info please? - Matt",Is there anything wrong with anyone’s service? No WiFi or cable for me😡,"Hey Krystal, I can look into your account. Can you DM me your account info please? - Matt","Is there anything wrong with anyone’s service? No WiFi or cable for me😡 | Hey Krystal, I can look into your account. Can you DM me your account info please? - Matt"
116409,"Posting from phone on 4G, even though I'm home &amp; have @115900 cable/internet...for like the 8th time this month. One guess why. #Frustrated",comcastcares,@116409 Sorry about the service issues.  Please send us a DM with your account info so I can help.--JV,"Posting from phone on 4G, even though I'm home &amp; have cable/internet...for like the 8th time this month. One guess why.",Sorry about the service issues. Please send us a DM with your account info so I can help.--JV,"Posting from phone on 4G, even though I'm home &amp; have cable/internet...for like the 8th time this month. One guess why. | Sorry about the service issues. Please send us a DM with your account info so I can help.--JV"
116410,Hey @116136 if you could hurry up with gigabit internet that'd be great! I need more upload speed!,comcastcares,@116410 Thank you for reaching out.  I will forward this feedback for you.--JV,Hey if you could hurry up with gigabit internet that'd be great! I need more upload speed!,Thank you for reaching out. I will forward this feedback for you.--JV,Hey if you could hurry up with gigabit internet that'd be great! I need more upload speed! | Thank you for reaching out. I will forward this feedback for you.--JV
116412,@comcastcares is this where I report an outage?,comcastcares,"@116412 Yes, please send us a direct message for assistance.-YE",is this where I report an outage?,"Yes, please send us a direct message for assistance.-YE","is this where I report an outage? | Yes, please send us a direct message for assistance.-YE"
116413,@116136 why don’t your marketing emails have an unsubscribe link?,comcastcares,"@116413 Hello, there should be a link at the bottom of the emails. Please DM and we can discuss further. Thank you. ~RD",why don’t your marketing emails have an unsubscribe link?,"Hello, there should be a link at the bottom of the emails. Please DM and we can discuss further. Thank you. ~RD","why don’t your marketing emails have an unsubscribe link? | Hello, there should be a link at the bottom of the emails. Please DM and we can discuss further. Thank you. ~RD"
116414,@comcastcares We are good! Just memorizing the new channels!,comcastcares,@116414 Awesome. Thank you for being the best part of Comcast! We are here 24/7 to assist you with any issues you may have. Have a good evening.-RM,We are good! Just memorizing the new channels!,Awesome. Thank you for being the best part of Comcast! We are here 24/7 to assist you with any issues you may have. Have a good evening.-RM,We are good! Just memorizing the new channels! | Awesome. Thank you for being the best part of Comcast! We are here 24/7 to assist you with any issues you may have. Have a good evening.-RM
116414,@comcastcares I will try it once I wrestle it from the kid!,comcastcares,"@116414 Ok, once you navigate to the Settings, Preferences, then General make sure the setting ""Auto-Tune to HD Channels"" is on.-RM",I will try it once I wrestle it from the kid!,"Ok, once you navigate to the Settings, Preferences, then General make sure the setting ""Auto-Tune to HD Channels"" is on.-RM","I will try it once I wrestle it from the kid! | Ok, once you navigate to the Settings, Preferences, then General make sure the setting ""Auto-Tune to HD Channels"" is on.-RM"
116414,@comcastcares Is this in the remote itself? Under setup or help?,comcastcares,"@116414 To navigate to settings, click XFINITY on the remote, then scroll over to Settings (the icon looks like a gear). -EW",Is this in the remote itself? Under setup or help?,"To navigate to settings, click XFINITY on the remote, then scroll over to Settings (the icon looks like a gear). -EW","Is this in the remote itself? Under setup or help? | To navigate to settings, click XFINITY on the remote, then scroll over to Settings (the icon looks like a gear). -EW"
116414,When will the infinity voice remote be able to find high definition channels again? All verbal searches go to low def. @comcastcares,comcastcares,"@116414 Hi, Janette. Can you check to make sure your Autotune to HD setting is on? You can find it under Settings&gt; Preferences&gt; General. - NS",When will the infinity voice remote be able to find high definition channels again? All verbal searches go to low def.,"Hi, Janette. Can you check to make sure your Autotune to HD setting is on? You can find it under Settings&gt; Preferences&gt; General. - NS","When will the infinity voice remote be able to find high definition channels again? All verbal searches go to low def. | Hi, Janette. Can you check to make sure your Autotune to HD setting is on? You can find it under Settings&gt; Preferences&gt; General. - NS"
116591,@comcastcares I appreciate it - sorry for being snappy. Frustrated that this is the 7th outage this month. Appreciate your assistance.,comcastcares,"@116591 I completely understand, at this point, I'm unable to troubleshoot further since we don't have the connection to try. I hope they're able to resolve the full issue while they work on it this time. -KB",I appreciate it - sorry for being snappy. Frustrated that this is the 7th outage this month. Appreciate your assistance.,"I completely understand, at this point, I'm unable to troubleshoot further since we don't have the connection to try. I hope they're able to resolve the full issue while they work on it this time. -KB","I appreciate it - sorry for being snappy. Frustrated that this is the 7th outage this month. Appreciate your assistance. | I completely understand, at this point, I'm unable to troubleshoot further since we don't have the connection to try. I hope they're able to resolve the full issue while they work on it this time. -KB"
116591,"@comcastcares I wasn’t asking to test the connection. I was reporting the outage, but you kept asking me to test my connection. Looks like someone else was able to successfully report the outage.",comcastcares,@116591 I do see they are working on the area. Once the service is back up we can continue to troubleshoot the continuing issues you were having. -KB,"I wasn’t asking to test the connection. I was reporting the outage, but you kept asking me to test my connection. Looks like someone else was able to successfully report the outage.",I do see they are working on the area. Once the service is back up we can continue to troubleshoot the continuing issues you were having. -KB,"I wasn’t asking to test the connection. I was reporting the outage, but you kept asking me to test my connection. Looks like someone else was able to successfully report the outage. | I do see they are working on the area. Once the service is back up we can continue to troubleshoot the continuing issues you were having. -KB"
116591,@comcastcares Zero service. Internet is down. Restarted AND unplugged my modem. No connection.,comcastcares,@116591 Are you able to test using a wire? -KB,Zero service. Internet is down. Restarted AND unplugged my modem. No connection.,Are you able to test using a wire? -KB,Zero service. Internet is down. Restarted AND unplugged my modem. No connection. | Are you able to test using a wire? -KB
116591,"@comcastcares Internet down, again. 7th time this month, I believe. 95608.",comcastcares,@116591 We're still here to help. Can you try doing a test wired in? -KB,"Internet down, again. 7th time this month, I believe. 95608.",We're still here to help. Can you try doing a test wired in? -KB,"Internet down, again. 7th time this month, I believe. 95608. | We're still here to help. Can you try doing a test wired in? -KB"
116599,"@comcastcares Oh, it's OK. No problems. I just had a fun time at that holiday spectacular y'all do here in Philly. :)",comcastcares,"@116599 I just wanted to be sure you didn't need any help. But I am very happy to hear you enjoyed yourself at our event, please do not hesitate to reach out if you need any help. -GR","Oh, it's OK. No problems. I just had a fun time at that holiday spectacular y'all do here in Philly. :)","I just wanted to be sure you didn't need any help. But I am very happy to hear you enjoyed yourself at our event, please do not hesitate to reach out if you need any help. -GR","Oh, it's OK. No problems. I just had a fun time at that holiday spectacular y'all do here in Philly. :) | I just wanted to be sure you didn't need any help. But I am very happy to hear you enjoyed yourself at our event, please do not hesitate to reach out if you need any help. -GR"
116599,"Insisted on going to the @116136 center and taking in the show with audio description for a second time. It was as  much fun today as it was yesterday, and I still got teary-eyed, even knowing what was coming",comcastcares,@116599 Please let us know if you need any help or have any questions. -GR,"Insisted on going to the center and taking in the show with audio description for a second time. It was as much fun today as it was yesterday, and I still got teary-eyed, even knowing what was coming",Please let us know if you need any help or have any questions. -GR,"Insisted on going to the center and taking in the show with audio description for a second time. It was as much fun today as it was yesterday, and I still got teary-eyed, even knowing what was coming | Please let us know if you need any help or have any questions. -GR"
116600,"@comcastcares Guys, it’s been a week continuously when your app says outage reported. And my internet connection keeps breaking up. Saying “Outage reported” is not enough. For a week!!!",comcastcares,@116600 I will be happy to look into your service issues. Please DM me your account info so I can help. -GR,"Guys, it’s been a week continuously when your app says outage reported. And my internet connection keeps breaking up. Saying “Outage reported” is not enough. For a week!!!",I will be happy to look into your service issues. Please DM me your account info so I can help. -GR,"Guys, it’s been a week continuously when your app says outage reported. And my internet connection keeps breaking up. Saying “Outage reported” is not enough. For a week!!! | I will be happy to look into your service issues. Please DM me your account info so I can help. -GR"
116601,"@comcastcares Ahhh, you only care about throttling my internet speed I am paying for when @116602 is involved. Interesting.",comcastcares,"@116601 I apologize that you think that. If you happen to need assistance with your Internet, please do not hesitate to DM us your account information. We are here to help. -DG","Ahhh, you only care about throttling my internet speed I am paying for when is involved. Interesting.","I apologize that you think that. If you happen to need assistance with your Internet, please do not hesitate to DM us your account information. We are here to help. -DG","Ahhh, you only care about throttling my internet speed I am paying for when is involved. Interesting. | I apologize that you think that. If you happen to need assistance with your Internet, please do not hesitate to DM us your account information. We are here to help. -DG"
116601,@116602 I am supposed to get 75 mbps download speed from @115900 but I am only getting 31 mbps according to https://t.co/yPMq1ut5y5. Thought you might want to know that they are throttling me... again.,comcastcares,"@116601 I apologize you are experiencing some speed issues. Could you please DM your full first/last name, full service address (Including the city, state, and zip code), and the phone number listed on the account? -DG",I am supposed to get 75 mbps download speed from but I am only getting 31 mbps according to Thought you might want to know that they are throttling me... again.,"I apologize you are experiencing some speed issues. Could you please DM your full first/last name, full service address (Including the city, state, and zip code), and the phone number listed on the account? -DG","I am supposed to get 75 mbps download speed from but I am only getting 31 mbps according to Thought you might want to know that they are throttling me... again. | I apologize you are experiencing some speed issues. Could you please DM your full first/last name, full service address (Including the city, state, and zip code), and the phone number listed on the account? -DG"
116603,@comcastcares That's a lie. U must think we're stupid... how does licensing Malibu mislabeled a program. That's incompetence,comcastcares,@116603 I completely understand how this is frustrating and I want to make this right for you. I can provide a $10.00 credit for the inconvenience for you not being able to view the game.-RM,That's a lie. U must think we're stupid... how does licensing Malibu mislabeled a program. That's incompetence,I completely understand how this is frustrating and I want to make this right for you. I can provide a $10.00 credit for the inconvenience for you not being able to view the game.-RM,That's a lie. U must think we're stupid... how does licensing Malibu mislabeled a program. That's incompetence | I completely understand how this is frustrating and I want to make this right for you. I can provide a $10.00 credit for the inconvenience for you not being able to view the game.-RM
116603,@comcastcares What? That's ridiculous. It makes no sense that someone else is at fault for your programming error... U had wrong game labeled... twice. how is that someone else fault?,comcastcares,"@116603 I understand your frustration; however, this is an issue with the licensing agreement restriction between the network, the league and us. I am sorry for the inconvenience this has brought you.-RM",What? That's ridiculous. It makes no sense that someone else is at fault for your programming error... U had wrong game labeled... twice. how is that someone else fault?,"I understand your frustration; however, this is an issue with the licensing agreement restriction between the network, the league and us. I am sorry for the inconvenience this has brought you.-RM","What? That's ridiculous. It makes no sense that someone else is at fault for your programming error... U had wrong game labeled... twice. how is that someone else fault? | I understand your frustration; however, this is an issue with the licensing agreement restriction between the network, the league and us. I am sorry for the inconvenience this has brought you.-RM"
116603,Damn... how fucked up is @115900 the #UVA #RIU game is over... but I went by they're espn setting... this game can't be just coming on LIVE... how I hate them!!! https://t.co/NXdDA3OVaa,comcastcares,"@116603 Thanks for reaching out to us with your concern about the game. This is likely due to licensing agreement restrictions between us, the network and the league. We apologize for any inconvenience. -Ken",Damn... how fucked up is the game is over... but I went by they're espn setting... this game can't be just coming on LIVE... how I hate them!!!,"Thanks for reaching out to us with your concern about the game. This is likely due to licensing agreement restrictions between us, the network and the league. We apologize for any inconvenience. -Ken","Damn... how fucked up is the game is over... but I went by they're espn setting... this game can't be just coming on LIVE... how I hate them!!! | Thanks for reaching out to us with your concern about the game. This is likely due to licensing agreement restrictions between us, the network and the league. We apologize for any inconvenience. -Ken"
116604,"@ComcastCares
#mobile_Care I’m having trouble viewing my channels on my tv",comcastcares,@116604 I can help you. Can you DM me your address and phone number please? -AG,I’m having trouble viewing my channels on my tv,I can help you. Can you DM me your address and phone number please? -AG,I’m having trouble viewing my channels on my tv | I can help you. Can you DM me your address and phone number please? -AG
116673,"@ComcastCares
#mobile_Care I am setting up my tv box and it has been frozen on select your languages for about 15 minuets.",comcastcares,"@116673 Shadi, I can help with the box trouble. To get started, please DM your phone or account number and full address.-CP",I am setting up my tv box and it has been frozen on select your languages for about 15 minuets.,"Shadi, I can help with the box trouble. To get started, please DM your phone or account number and full address.-CP","I am setting up my tv box and it has been frozen on select your languages for about 15 minuets. | Shadi, I can help with the box trouble. To get started, please DM your phone or account number and full address.-CP"
116674,"@ComcastCares
#mobile_Care I have all premium channels but when I go to view on demand it says I need to subscribe? But I’m subscribed",comcastcares,@116674 Can you send us a DM when you have a moment? -LT,I have all premium channels but when I go to view on demand it says I need to subscribe? But I’m subscribed,Can you send us a DM when you have a moment? -LT,I have all premium channels but when I go to view on demand it says I need to subscribe? But I’m subscribed | Can you send us a DM when you have a moment? -LT
116675,@comcastcares On 11/3. Frankly you guys could do better!!,comcastcares,"@116675 Understood and I'm glad to hear you have a service visit. 

We're here 24/7 and are happy to help whenever you're ready. -BG",On 11/3. Frankly you guys could do better!!,Understood and I'm glad to hear you have a service visit. We're here 24/7 and are happy to help whenever you're ready. -BG,On 11/3. Frankly you guys could do better!! | Understood and I'm glad to hear you have a service visit. We're here 24/7 and are happy to help whenever you're ready. -BG
116675,@116136 @comcastcares fails to deliver quality service. Have dealt w/ them all day &amp; still no resolution. #comcastdoesntcare #ihatecomcast,comcastcares,"@116675 Hi Gina. I can help turn those troubles around. Send me a DM with your full name, service address and phone number on the account. -BG",fails to deliver quality service. Have dealt w/ them all day &amp; still no resolution.,"Hi Gina. I can help turn those troubles around. Send me a DM with your full name, service address and phone number on the account. -BG","fails to deliver quality service. Have dealt w/ them all day &amp; still no resolution. | Hi Gina. I can help turn those troubles around. Send me a DM with your full name, service address and phone number on the account. -BG"
116676,@115900 If you just want to tell me if there's internet outages in Salisbury Mass that'd be great.,comcastcares,"@116676 Hi, I would love to help. Please DM me the phone # associated with the account &amp; the service address. -Jules",If you just want to tell me if there's internet outages in Salisbury Mass that'd be great.,"Hi, I would love to help. Please DM me the phone # associated with the account &amp; the service address. -Jules","If you just want to tell me if there's internet outages in Salisbury Mass that'd be great. | Hi, I would love to help. Please DM me the phone # associated with the account &amp; the service address. -Jules"
116677,@comcastcares Don't sports have entire channels dedicated to them? Why is #jeopardy being preempted for baseball right now?,comcastcares,@116677 I'd like to ask are you able to send over a DM so I can look into this further? -DSC,Don't sports have entire channels dedicated to them? Why is being preempted for baseball right now?,I'd like to ask are you able to send over a DM so I can look into this further? -DSC,Don't sports have entire channels dedicated to them? Why is being preempted for baseball right now? | I'd like to ask are you able to send over a DM so I can look into this further? -DSC
116678,@comcastcares My upload speeds are trash. Explain.,comcastcares,@116678 Can you please DM us your account info so we can assist with any connectivity issues? -FRL,My upload speeds are trash. Explain.,Can you please DM us your account info so we can assist with any connectivity issues? -FRL,My upload speeds are trash. Explain. | Can you please DM us your account info so we can assist with any connectivity issues? -FRL
116679,"XFINITY decided to reset my internet again :D Had to restart stream, Live again https://t.co/vlGtF0UAit",comcastcares,@116679 I'd be happy to assist you with any issues you’re having with your internet service. Please shoot us a DM so that we can help. -IB,"XFINITY decided to reset my internet again :D Had to restart stream, Live again",I'd be happy to assist you with any issues you’re having with your internet service. Please shoot us a DM so that we can help. -IB,"XFINITY decided to reset my internet again :D Had to restart stream, Live again | I'd be happy to assist you with any issues you’re having with your internet service. Please shoot us a DM so that we can help. -IB"
116680,"@comcastcares Trying to call to set up new service... asks for phone # and zip code, says it’s transferring me then it hangs up. Twice now.",comcastcares,@116680 Sorry about the trouble setting up new service.  Please send us a DM so I can assist.--JV,"Trying to call to set up new service... asks for phone # and zip code, says it’s transferring me then it hangs up. Twice now.",Sorry about the trouble setting up new service. Please send us a DM so I can assist.--JV,"Trying to call to set up new service... asks for phone # and zip code, says it’s transferring me then it hangs up. Twice now. | Sorry about the trouble setting up new service. Please send us a DM so I can assist.--JV"
116681,@116136 @comcastcares i guess i pay 200 a month for 12 hours of THIS right? Thats what im paying for? https://t.co/OqVrO1etdS,comcastcares,"@116681 Hello, thanks for reaching out about your concerns and I'm happy to help. Can you DM the full address? ~AT",i guess i pay 200 a month for 12 hours of THIS right? Thats what im paying for?,"Hello, thanks for reaching out about your concerns and I'm happy to help. Can you DM the full address? ~AT","i guess i pay 200 a month for 12 hours of THIS right? Thats what im paying for? | Hello, thanks for reaching out about your concerns and I'm happy to help. Can you DM the full address? ~AT"
116906,@116907 @116136 I recorded everything i will go to court. It is very shame comcast. They have horrible agent,comcastcares,@116906 I can help with any issues you're having. Would you please send us a DM with your account info?--JV,I recorded everything i will go to court. It is very shame comcast. They have horrible agent,I can help with any issues you're having. Would you please send us a DM with your account info?--JV,I recorded everything i will go to court. It is very shame comcast. They have horrible agent | I can help with any issues you're having. Would you please send us a DM with your account info?--JV
116908,@comcastcares internet has been down for almost 30 mins now..,comcastcares,"@116908 Hello. Please, DM me your full address so I can provide an update on your services for you. Thanks.-JC",internet has been down for almost 30 mins now..,"Hello. Please, DM me your full address so I can provide an update on your services for you. Thanks.-JC","internet has been down for almost 30 mins now.. | Hello. Please, DM me your full address so I can provide an update on your services for you. Thanks.-JC"
116909,"@ComcastCares
#mobile_Care
Internet drops periodically for a couple minutes at a time. App says internet is fine. How can i fix this?",comcastcares,"@116909 Hi, I am sorry to hear about the internet issues. Can you please DM me your address or phone number so I can help? -SDL",Internet drops periodically for a couple minutes at a time. App says internet is fine. How can i fix this?,"Hi, I am sorry to hear about the internet issues. Can you please DM me your address or phone number so I can help? -SDL","Internet drops periodically for a couple minutes at a time. App says internet is fine. How can i fix this? | Hi, I am sorry to hear about the internet issues. Can you please DM me your address or phone number so I can help? -SDL"
116910,@115900 please get service back in New Hampshire. Not like there is a World Series to won tonight or anything. #getrdone,comcastcares,@116910 I can look into your service issues. Please DM me your account info and I will be happy to help. -GR,please get service back in New Hampshire. Not like there is a World Series to won tonight or anything.,I can look into your service issues. Please DM me your account info and I will be happy to help. -GR,please get service back in New Hampshire. Not like there is a World Series to won tonight or anything. | I can look into your service issues. Please DM me your account info and I will be happy to help. -GR
116911,"@115900 how come when I call, your automated system will allow me to add services but not cancel them? Please contact me to resolve",comcastcares,@116911 Hello! Just checking in to see if you still want to cancel XFINITY services. -GO,"how come when I call, your automated system will allow me to add services but not cancel them? Please contact me to resolve",Hello! Just checking in to see if you still want to cancel XFINITY services. -GO,"how come when I call, your automated system will allow me to add services but not cancel them? Please contact me to resolve | Hello! Just checking in to see if you still want to cancel XFINITY services. -GO"
116937,"@ComcastCares
#mobile_CareXI no internet all day again, third day with issues. What is your solution?",comcastcares,"@116937 Hello, let me do some research on the account to see what is causing this problem. Please DM for assistance, thank you. -DP","no internet all day again, third day with issues. What is your solution?","Hello, let me do some research on the account to see what is causing this problem. Please DM for assistance, thank you. -DP","no internet all day again, third day with issues. What is your solution? | Hello, let me do some research on the account to see what is causing this problem. Please DM for assistance, thank you. -DP"
117225,"Reason 1,000,000 why you’re the worst @115900 https://t.co/mEkcmPO429",comcastcares,@117225 I am truly sorry for the troubles and inconvenience. Please DM your account details and I will look into this for you. ~RD,"Reason 1,000,000 why you’re the worst",I am truly sorry for the troubles and inconvenience. Please DM your account details and I will look into this for you. ~RD,"Reason 1,000,000 why you’re the worst | I am truly sorry for the troubles and inconvenience. Please DM your account details and I will look into this for you. ~RD"
117226,@comcastcares My service is always on and off . Ironically when I need it most I'm having to reboot and reset my internet and it's very inconvenient,comcastcares,@117226 I am glad you have reached out. We will work on fixing this. Please send us a DM with your account number. -YE,My service is always on and off . Ironically when I need it most I'm having to reboot and reset my internet and it's very inconvenient,I am glad you have reached out. We will work on fixing this. Please send us a DM with your account number. -YE,My service is always on and off . Ironically when I need it most I'm having to reboot and reset my internet and it's very inconvenient | I am glad you have reached out. We will work on fixing this. Please send us a DM with your account number. -YE
117226,Getting really frustrated with @115900  lately . Starting to look around for new cable and internet provider,comcastcares,"@117226 Hello Valentina, I am not happy to hear this. How can I help you? -YE",Getting really frustrated with lately . Starting to look around for new cable and internet provider,"Hello Valentina, I am not happy to hear this. How can I help you? -YE","Getting really frustrated with lately . Starting to look around for new cable and internet provider | Hello Valentina, I am not happy to hear this. How can I help you? -YE"
117227,#Astros have a chance to win their first #WorldSeries championship tonight and @115900 is out in my Cypress neighborhood.,comcastcares,"@117227 Hello. I can provide updates on the service interruption. Please send a DM with your full name, address and phone number. -GM",have a chance to win their first championship tonight and is out in my Cypress neighborhood.,"Hello. I can provide updates on the service interruption. Please send a DM with your full name, address and phone number. -GM","have a chance to win their first championship tonight and is out in my Cypress neighborhood. | Hello. I can provide updates on the service interruption. Please send a DM with your full name, address and phone number. -GM"
117228,"So my ISP Really screwed me over, so I switched to @115900",comcastcares,"@117228 Hi, I'm glad to hear you switched to Xfinity! Let me know if you need any assistance! - MH","So my ISP Really screwed me over, so I switched to","Hi, I'm glad to hear you switched to Xfinity! Let me know if you need any assistance! - MH","So my ISP Really screwed me over, so I switched to | Hi, I'm glad to hear you switched to Xfinity! Let me know if you need any assistance! - MH"
